City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Krasnoselkup,RU,65.7,82.4667,52.21,82,0,9.35,clear sky
196,Mezen,RU,65.8522,44.24,60.3,96,68,3.94,light rain
197,Quthing,LS,-30.4,27.7003,50.59,78,39,4.59,light rain
198,Butaritari,KI,3.0707,172.7902,81.93,72,41,15.32,scattered clouds
199,Trat,TH,12.5,102.5,80.19,86,11,1.32,few clouds
200,Sakakah,SA,29.9697,40.2064,94.71,10,99,1.97,overcast clouds
201,Nanortalik,GL,60.1432,-45.2371,45.43,81,39,6.78,scattered clouds
202,Shevchenkove,UA,49.6959,37.1735,66.56,83,87,9.73,overcast clouds
203,Bilibino,RU,68.0546,166.4372,50.99,54,11,4.23,few clouds
204,Port Hardy,CA,50.6996,-127.4199,66.88,79,64,3.49,broken clouds
205,Nhulunbuy,AU,-12.2333,136.7667,74.01,78,75,11.5,broken clouds
206,Ornskoldsvik,SE,63.2909,18.7153,54.55,82,100,4.61,overcast clouds
207,Valparaiso,CL,-33.0393,-71.6273,69.44,59,0,16.11,clear sky
208,Matagami,CA,49.7502,-77.6328,62.71,82,75,13.8,moderate rain
209,Urumqi,CN,43.801,87.6005,79.75,32,0,2.24,clear sky
210,Richards Bay,ZA,-28.783,32.0377,66.97,79,1,14.38,clear sky
211,Ainazi,LV,57.8636,24.3578,59.02,83,99,12.24,overcast clouds
212,Jamame,SO,0.0722,42.7506,75.6,70,84,11.65,broken clouds
213,Ballina,AU,-28.8667,153.5667,47.01,99,1,6.93,clear sky
214,Yumen,CN,40.2833,97.2,76.84,13,82,9.42,broken clouds
215,Nuuk,GL,64.1835,-51.7216,48.81,71,75,4.61,broken clouds
216,Kaitangata,NZ,-46.2817,169.8464,41.77,92,100,8.77,overcast clouds
217,Svetlaya,RU,46.5389,138.3297,63.84,97,87,2.35,overcast clouds
218,Yei,SS,4.095,30.6779,65.82,96,47,0.65,scattered clouds
219,Ajdabiya,LY,30.7554,20.2263,80.78,67,0,10.51,clear sky
220,Smolenka,RU,52.1352,113.4974,50.07,100,99,2.24,overcast clouds
221,Chuy,UY,-33.6971,-53.4616,50.32,89,100,14.76,overcast clouds
222,Bingerville,CI,5.3584,-3.8869,76.14,88,20,8.05,few clouds
223,Dingle,PH,10.9995,122.6711,77.61,90,100,7.38,overcast clouds
224,Tihuatlan,MX,20.7167,-97.5333,90.12,62,75,0.0,broken clouds
225,Lebu,CL,-37.6167,-73.65,52.43,78,0,14.45,clear sky
226,Alekseyevsk,RU,57.8406,108.3492,58.17,97,100,6.35,light rain
227,Zlobin,HR,45.2924,14.6541,74.5,55,0,6.91,clear sky
228,Muyezerskiy,RU,63.9333,31.65,55.36,94,58,4.56,broken clouds
229,Mahibadhoo,MV,3.7833,72.9667,82.0,75,74,14.38,broken clouds
230,Iracoubo,GF,5.4802,-53.2011,81.52,78,87,8.32,overcast clouds
231,Minsk,BY,53.9,27.5667,55.15,83,0,6.82,clear sky
232,Gallup,US,35.5281,-108.7426,75.96,64,75,16.11,broken clouds
233,Kununurra,AU,-15.7667,128.7333,51.78,87,19,2.3,few clouds
234,Soe,ID,-9.8607,124.284,60.13,85,85,6.73,overcast clouds
235,San Felipe,VE,10.3399,-68.7425,82.67,73,66,4.14,broken clouds
236,Skjervoy,NO,70.0311,20.9714,51.8,71,85,1.83,overcast clouds
237,Nalut,LY,30.3333,10.85,93.96,15,50,7.14,scattered clouds
238,Aquiraz,BR,-3.9014,-38.3911,82.49,70,72,10.18,broken clouds
239,Cabedelo,BR,-6.9811,-34.8339,79.47,80,5,12.41,clear sky
240,Paamiut,GL,61.994,-49.6678,41.85,92,100,18.75,overcast clouds
241,Iskateley,RU,67.6803,53.1512,64.26,95,97,4.7,light rain
242,Erdenet,MN,49.0333,104.0833,47.62,91,100,2.44,overcast clouds
243,Llandrindod Wells,GB,52.2416,-3.3787,62.38,65,96,2.82,overcast clouds
244,Teguise,ES,29.0605,-13.564,71.82,73,40,25.32,scattered clouds
245,Scarborough,GB,54.2797,-0.4044,60.37,80,100,7.0,overcast clouds
246,Mersing,MY,2.4312,103.8405,77.92,91,71,4.74,broken clouds
247,Pishin,PK,30.5803,66.9961,74.25,66,100,1.21,overcast clouds
248,Manta,EC,-0.95,-80.7333,78.58,73,20,9.22,few clouds
249,Nipawin,CA,53.3668,-104.0009,74.95,41,37,5.99,scattered clouds
250,Victoria,HK,22.2855,114.1577,87.33,81,100,1.01,overcast clouds
251,Tromso,NO,69.6496,18.957,50.02,81,40,2.3,scattered clouds
252,Lagoa,PT,39.05,-27.9833,72.34,74,3,4.18,clear sky
253,Barra Patuca,HN,15.8,-84.2833,85.19,64,10,8.59,clear sky
254,Lompoc,US,34.6391,-120.4579,87.69,70,0,17.27,clear sky
255,Mahebourg,MU,-20.4081,57.7,69.26,88,75,8.05,broken clouds
256,Te Anau,NZ,-45.4167,167.7167,40.53,90,93,1.7,overcast clouds
257,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,75,8.05,broken clouds
258,Saint-Pierre,RE,-21.3393,55.4781,68.92,81,0,6.91,clear sky
259,Bela Cruz,BR,-3.0506,-40.1678,82.76,62,62,14.32,broken clouds
260,La Crosse,US,43.8014,-91.2396,76.77,59,50,3.0,scattered clouds
261,Wau,SS,7.7029,27.9953,69.03,92,99,3.22,overcast clouds
262,Khash,IR,28.2211,61.2158,80.02,51,100,4.54,light rain
263,Kaeo,NZ,-35.1,173.7833,52.32,83,54,6.04,broken clouds
264,Garcia,MX,25.8167,-100.5833,94.37,50,78,11.97,broken clouds
265,Inhambane,MZ,-23.865,35.3833,63.57,72,0,3.69,clear sky
266,Sorong,ID,-0.8833,131.25,77.61,86,71,4.63,broken clouds
267,Anadyr,RU,64.75,177.4833,51.01,81,100,10.22,overcast clouds
268,Cozumel,MX,20.5083,-86.9458,89.67,67,40,11.99,scattered clouds
269,Kaspiyskiy,RU,45.3929,47.3707,80.96,51,87,2.62,overcast clouds
270,Nerchinskiy Zavod,RU,51.3088,119.61,53.64,89,0,1.48,clear sky
271,Novyy Rogachik,RU,48.6768,44.0608,74.3,43,44,4.9,scattered clouds
272,Cayenne,GF,4.9333,-52.3333,85.08,7,75,6.91,broken clouds
273,Straumen,NO,63.8709,11.2999,51.8,77,77,2.01,broken clouds
274,Bichena,ET,10.45,38.2,53.53,85,92,4.9,light rain
275,Hasaki,JP,35.7333,140.8333,77.4,90,79,10.94,broken clouds
276,Belaya Gora,RU,68.5333,146.4167,48.92,54,100,12.44,overcast clouds
277,Kulhudhuffushi,MV,6.6221,73.07,81.12,80,100,17.76,light rain
278,Waitati,NZ,-45.75,170.5667,44.8,74,100,6.49,moderate rain
279,Puerto Madryn,AR,-42.7692,-65.0385,54.43,47,4,23.76,clear sky
280,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,35,0,41.43,clear sky
281,Riviere-Au-Renard,CA,48.9957,-64.3971,73.69,76,63,10.0,broken clouds
282,Port Blair,IN,11.6667,92.75,81.63,80,1,4.63,clear sky
