City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
125,Sola,VU,80.17,broken clouds,-13.8833,167.55,Leumerus Bungalows
128,Puerto Carreno,CO,81.9,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
130,Manzanillo,CU,85.17,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
132,Touros,BR,77.83,clear sky,-5.1989,-35.4608,INN NEW HORIZON
134,Nuevitas,CU,84.11,clear sky,21.5453,-77.2644,Hotel Caonaba
136,Yendi,GH,76.28,overcast clouds,9.4427,-0.0099,Eyarro Lodge
139,Metro,ID,75.96,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
144,Jamestown,US,82.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
146,Guerrero Negro,MX,79.21,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
147,The Valley,AI,85.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
159,Boende,CD,75.4,overcast clouds,-0.2167,20.8667,
160,Luwuk,ID,76.14,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
161,Simbahan,PH,82.96,broken clouds,6.3032,120.5836,
171,Arlit,NE,86.63,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
174,Labuhan Deli,ID,77.29,light rain,3.7278,98.6738,Rumahnya Ibnu Sina
175,Katsuura,JP,79.38,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
176,Kahului,US,84.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
178,Glace Bay,CA,75.85,broken clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
181,Harrison,US,87.82,broken clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
189,Kirakira,SB,79.05,broken clouds,-10.4544,161.9205,SanBiz Lodge
190,Chanute,US,89.28,scattered clouds,37.6792,-95.4572,Guest House Motel Chanute
193,Atuona,PF,76.73,light rain,-9.8,-139.0333,Villa Enata
198,Butaritari,KI,81.93,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
199,Trat,TH,80.19,few clouds,12.5,102.5,สวนหนิง-อัศ
209,Urumqi,CN,79.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
212,Jamame,SO,75.6,broken clouds,0.0722,42.7506,
214,Yumen,CN,76.84,broken clouds,40.2833,97.2,
219,Ajdabiya,LY,80.78,clear sky,30.7554,20.2263,Almadina Hotel
222,Bingerville,CI,76.14,few clouds,5.3584,-3.8869,Residence Hotel le Jourdain
223,Dingle,PH,77.61,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
229,Mahibadhoo,MV,82.0,broken clouds,3.7833,72.9667,Omadhoo Inn
230,Iracoubo,GF,81.52,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
232,Gallup,US,75.96,broken clouds,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
235,San Felipe,VE,82.67,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
238,Aquiraz,BR,82.49,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
239,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Pousada Camboinha
246,Mersing,MY,77.92,broken clouds,2.4312,103.8405,Timotel Hotel
248,Manta,EC,78.58,few clouds,-0.95,-80.7333,Balandra Hotel
250,Victoria,HK,87.33,overcast clouds,22.2855,114.1577,Mini Central
253,Barra Patuca,HN,85.19,clear sky,15.8,-84.2833,
254,Lompoc,US,87.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
259,Bela Cruz,BR,82.76,broken clouds,-3.0506,-40.1678,Priva’s
260,La Crosse,US,76.77,scattered clouds,43.8014,-91.2396,Holiday Inn & Suites La Crosse - Downtown
262,Khash,IR,80.02,light rain,28.2211,61.2158,خوابگاه آبجی محدثه
266,Sorong,ID,77.61,broken clouds,-0.8833,131.25,Waigo Splash Hotel
268,Cozumel,MX,89.67,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
269,Kaspiyskiy,RU,80.96,overcast clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
272,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
275,Hasaki,JP,77.4,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
277,Kulhudhuffushi,MV,81.12,light rain,6.6221,73.07,Haajy Guest House 1
282,Port Blair,IN,81.63,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
283,Santa Rosa,PH,82.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
284,Sertania,BR,77.52,broken clouds,-8.0736,-37.2644,Hotel Esperança
286,Algiers,DZ,82.22,clear sky,36.7525,3.042,Sofitel Algiers Hamma Garden
290,Santa Flavia,IT,84.38,clear sky,38.085,13.5351,La Caletta
292,Flin Flon,CA,79.56,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
299,Bubaque,GW,79.99,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
302,Hami,CN,86.86,scattered clouds,42.8,93.45,Laoyutang Resort
303,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
305,Matara,LK,77.22,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
306,Balkanabat,TM,86.38,clear sky,39.5108,54.3671,Nebitchi Hotel
312,Meulaboh,ID,75.61,light rain,4.1363,96.1285,Kost Pria
314,Gilgit,PK,82.87,broken clouds,35.9221,74.3087,Tourist Hamlet Gilgit
